,demand,wind
0,22830.0,6720.910601092895
1,23236.0,6256.46268852459
2,23454.0,5790.721049180327
3,23088.0,5477.639169398909
4,22833.0,5243.474622950819
5,22651.0,5697.572721311476
6,22462.0,5247.355803278689
7,22379.0,5506.748021857926
8,22539.0,5320.451366120219
9,22720.0,5279.052109289619
10,22999.0,4820.425967213115
11,23392.0,5117.98312568306
12,24585.0,4169.034535519127
13,24557.0,4649.007169398907
14,24807.0,4123.107234972677
15,25070.0,3808.7316284153007
16,25297.0,3574.567081967213
17,25307.0,3799.675540983607
18,24995.0,3498.2372021857923
19,24506.0,3531.2272349726773
20,24104.0,3341.049398907104
21,23773.0,4139.278819672131
22,23488.0,3504.058972677595
23,23016.0,3531.2272349726773
24,22244.0,3112.0597595628406
25,21560.0,2875.9546229508196
26,21113.0,2757.5786229508208
27,20977.0,2946.462732240437
28,21280.0,2682.5424699453556
29,21868.0,2754.344306010929
30,22817.0,2679.3081530054646
31,24177.0,2487.189726775956
32,25659.0,2293.1307103825134
33,26927.0,2137.236633879781
34,27715.0,1981.989420765027
35,28541.0,2055.7318469945358
36,28933.0,1942.5307540983604
37,29383.0,1787.930404371585
38,30560.0,1823.5078907103825
39,30514.0,1671.4949945355195
40,29751.0,1478.0828415300548
41,28308.0,1360.353704918033
42,27236.0,1205.753355191257
43,25586.0,897.8463825136611
44,24207.0,1083.4961748633882
45,22962.0,934.0707322404372
46,22249.0,931.4832786885247
47,21913.0,778.8235191256831
