,demand,wind
0,30058.0,3.23431693989071
1,30322.0,0.0
2,29973.0,0.0
3,29149.0,37.51807650273225
4,28693.0,152.65975956284154
5,28441.0,78.91733333333333
6,27890.0,1.2937267759562843
7,27417.0,0.0
8,27015.0,0.0
9,27087.0,0.0
10,27624.0,190.82469945355186
11,28164.0,117.72913661202186
12,30933.0,78.27046994535519
13,33783.0,39.458666666666666
14,36298.0,115.14168306010929
15,38300.0,154.60034972677593
16,38790.0,193.41215300546446
17,39526.0,308.55383606557376
18,40185.0,272.3294863387979
19,40302.0,424.3423825136613
20,39921.0,579.5895956284153
21,39576.0,582.1770491803279
22,39458.0,505.84716939890706
23,39274.0,619.0482622950819
24,39203.0,849.9784918032786
25,38783.0,853.8596721311476
26,38648.0,1082.8493114754099
27,38280.0,1048.5655519125683
28,38298.0,895.2589289617487
29,38097.0,969.001355191257
30,38016.0,1122.9548415300544
31,38755.0,1163.7072349726775
32,40346.0,1164.3540983606558
33,42144.0,1355.1787978142079
34,43011.0,1472.9079344262298
35,43035.0,1665.6732240437161
36,42456.0,1554.4127213114755
37,41657.0,1743.2968306010926
38,40893.0,1784.6960874316944
39,39866.0,1823.5078907103825
40,38644.0,1557.000174863388
41,37149.0,1705.1318907103823
42,35469.0,1440.5647650273224
43,33735.0,1703.191300546448
44,31914.0,1745.8842841530056
45,30250.0,1670.201267759563
46,28273.0,1859.7322404371582
47,27107.0,1443.152218579235
