,demand,wind
0,32978.0,9943.584
1,33393.0,8905.368262295082
2,33516.0,8544.418491803279
3,32680.0,8004.2875628415295
4,32266.0,7384.592437158469
5,32262.0,6763.603584699453
6,31828.0,6638.7589508196725
7,31289.0,6674.98330054645
8,31041.0,7438.928961748633
9,31163.0,7948.0104480874315
10,31753.0,7994.584612021856
11,32248.0,8147.891234972677
12,35023.0,8761.117726775956
13,38457.0,9305.776699453552
14,42823.0,9810.977005464481
15,44770.0,10315.530448087431
16,45811.0,10285.774732240438
17,46015.0,10132.468109289617
18,47154.0,10129.880655737705
19,47606.0,10206.210535519125
20,47624.0,10398.328961748635
21,47651.0,10630.552918032789
22,47867.0,10138.289879781423
23,48053.0,9519.24161748634
24,48251.0,9089.077464480873
25,48215.0,8662.1476284153
26,48242.0,7968.063213114756
27,48015.0,7422.1105136612005
28,47803.0,6420.765989071037
29,47493.0,5258.999344262295
30,47291.0,3827.490666666667
31,48233.0,2429.6188852459018
32,48593.0,2940.640961748634
33,49781.0,3522.171147540984
34,51429.0,3150.2246994535517
35,51858.0,1998.8078688524593
36,51621.0,2284.721486338798
37,51037.0,2404.3912131147545
38,50890.0,2864.311081967213
39,49796.0,3177.3929617486338
40,48438.0,3487.887387978142
41,46691.0,3531.2272349726773
42,44454.0,3722.698797814208
43,42049.0,4031.252633879781
44,39495.0,3960.0976612021855
45,37346.0,4187.793573770492
46,35295.0,6061.756808743169
47,34677.0,8230.689748633878
