,demand,wind
0,30108.0,9012.100721311475
1,30209.0,7706.730404371584
2,29497.0,7188.592830601093
3,29495.0,6493.214688524591
4,29271.0,5909.097049180328
5,28934.0,4868.9407213114755
6,28520.0,4431.661071038251
7,27879.0,3966.566295081968
8,27805.0,3806.144174863388
9,27493.0,3879.2397377049183
10,27719.0,4148.334907103825
11,27916.0,4496.347409836066
12,28820.0,3815.200262295082
13,29191.0,3154.752743169399
14,29461.0,3105.5911256830605
15,29337.0,3028.614382513662
16,30723.0,2836.4959562841523
17,32435.0,2604.272
18,33636.0,2180.576480874317
19,35081.0,1868.1414644808744
20,37143.0,1557.6470382513662
21,37743.0,1170.8227322404373
22,38041.0,1202.519038251366
23,38498.0,1279.495781420765
24,38541.0,1471.6142076502729
25,38799.0,1551.1784043715843
26,39037.0,1819.6267103825137
27,38779.0,2014.979453551912
28,38857.0,1980.0488306010927
29,39027.0,1788.577267759563
30,39007.0,1976.1676502732237
31,39975.0,2361.051366120219
32,41895.0,2367.52
33,43974.0,3207.148677595628
34,44708.0,2687.0705136612023
35,44421.0,2601.6845464480875
36,43904.0,2638.5557595628416
37,43242.0,2639.2026229508197
38,42531.0,2601.0376830601094
39,41399.0,2562.225879781421
40,39556.0,2332.5893770491807
41,37996.0,2290.5432568306005
42,36213.0,2328.0613333333336
43,34076.0,2328.7081967213117
44,32733.0,2061.5536174863387
45,31290.0,1828.0359344262297
46,29330.0,1557.000174863388
47,28103.0,1285.3175519125684
