date,period,demand,wind
2019-11-09,1,886.8973509818182,46.47852197639634
2019-11-09,2,892.1973783272728,37.312634866366416
2019-11-09,3,889.0121402181818,41.48252342286072
2019-11-09,4,870.1095796363637,55.88044051415234
2019-11-09,5,865.3056139636362,77.79202472139124
2019-11-09,6,859.8228270545454,99.05452250238338
2019-11-09,7,852.5385530181818,91.36383181564155
2019-11-09,8,844.8104343272728,77.79202472139124
2019-11-09,9,835.5680221090912,77.1035997238568
2019-11-09,10,833.9754030545455,64.51525691179856
2019-11-09,11,826.638912,64.90864262467537
2019-11-09,12,839.2232133818183,94.88463394588909
2019-11-09,13,862.5642205090911,152.7713415957132
2019-11-09,14,893.2156101818182,180.09197935500836
2019-11-09,15,932.6916759272726,171.71286367073213
2019-11-09,16,963.8391272727274,199.91861928400016
2019-11-09,17,1006.7092992000001,237.50662414938034
2019-11-09,18,1042.086329018182,186.54350504618827
2019-11-09,19,1068.2209466181819,174.70259508859596
2019-11-09,20,1079.2387374545456,166.83488083105956
2019-11-09,21,1088.1417390545455,118.50744600414217
2019-11-09,22,1092.841270690909,81.27348828035113
2019-11-09,23,1098.1935150545455,72.874703310431
2019-11-09,24,1101.1176680727274,88.39376968342154
2019-11-09,25,1109.472390981818,81.27348828035113
2019-11-09,26,1104.1723636363636,72.874703310431
2019-11-09,27,1102.7102871272727,75.39237187284265
2019-11-09,28,1101.2482106181817,71.67487688615668
2019-11-09,29,1100.9871255272726,75.86443472829482
2019-11-09,30,1108.8980037818183,120.65139813932083
2019-11-09,31,1121.4300881454546,111.60352674315398
2019-11-09,32,1135.7897681454547,114.33755744764787
2019-11-09,33,1166.3106152727273,78.40177257635033
2019-11-09,34,1211.165033890909,61.01412406719486
2019-11-09,35,1221.0340503272728,41.06946842434005
2019-11-09,36,1216.9611229090908,57.88670764982413
2019-11-09,37,1212.366025309091,60.91577763897565
2019-11-09,38,1197.118656,63.78749334297644
2019-11-09,39,1160.3056581818182,86.09246326309216
2019-11-09,40,1125.8946432,71.71421545744437
2019-11-09,41,1096.9925236363638,73.18941188073245
2019-11-09,42,1058.0125195636365,60.91577763897565
2019-11-09,43,1023.3926365090911,41.81690127880601
2019-11-09,44,988.7205364363633,40.04666557086032
2019-11-09,45,946.1114496,51.53352838686349
2019-11-09,46,911.2826984727271,40.14501199907953
2019-11-09,47,871.0755944727274,50.33370196258918
2019-11-09,48,840.7636154181819,68.15407475590914
